1,-1,83.43,40.4,176.76999999999998,54.27,1,1,1.0
2,-1,115.81,37.6,73.88999999999999,151.20000000000002,1,1,1.0
3,-1,103.8,101.31,60.39999999999999,61.579999999999984,1,1,1.0
3,-1,54.53,64.0,36.95,53.010000000000005,1,1,1.0
3,-1,120.1,51.11,67.20000000000002,52.97,1,1,1.0
3,-1,173.7,82.5,58.20000000000002,50.83000000000001,1,1,1.0
4,-1,13.04,49.96,33.11,68.55000000000001,1,1,1.0
4,-1,230.3,48.5,31.379999999999995,76.7,1,1,1.0
4,-1,150.72,39.21,31.370000000000005,60.13,1,1,1.0
4,-1,180.35,49.67,24.110000000000014,66.51,1,1,1.0
4,-1,48.47,37.8,15.689999999999998,60.96000000000001,1,1,1.0
4,-1,212.59,31.1,23.210000000000008,51.99999999999999,1,1,1.0
5,-1,15.7,26.4,130.18,121.01999999999998,1,2,1.0
6,-1,65.18,133.9,146.57999999999998,50.5,1,2,1.0
6,-1,125.5,17.2,57.900000000000006,125.99999999999999,1,1,1.0
7,-1,97.6,61.0,52.53999999999999,105.15,1,2,1.0
8,-1,112.69,15.68,100.21000000000001,141.45999999999998,1,2,1.0
9,-1,29.9,57.0,169.54,92.0,1,2,1.0
10,-1,53.1,72.9,153.70000000000002,63.03999999999999,1,2,1.0
